Station Name: GEASHILL (Sranure)
Station Height: 86 M 
Latitude:53.193  ,Longitude: -7.308


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
28-jul-2018,0,0.500
29-jul-2018,4,0.000
30-jul-2018,0,2.500
31-jul-2018,0,0.300
01-aug-2018,1,5.000
02-aug-2018,0,0.900
03-aug-2018,0,0.000
04-aug-2018,0,0.000
05-aug-2018,0,0.000
06-aug-2018,0,0.000
07-aug-2018,0,0.000
08-aug-2018,0,0.000
09-aug-2018,0,0.000
10-aug-2018,0,0.000
11-aug-2018,0,1.600
12-aug-2018,4,0.000
13-aug-2018,4,0.000
14-aug-2018,0,0.000
15-aug-2018,0,3.900
16-aug-2018,0,2.200
17-aug-2018,1,0.600
18-aug-2018,1,1.700
19-aug-2018,4,0.000
20-aug-2018,0,0.000
21-aug-2018,0,2.800
22-aug-2018,1,0.200
23-aug-2018,1,0.600
24-aug-2018,0,1.500
25-aug-2018,0,13.500
26-aug-2018,0,1.400
27-aug-2018,0,0.000
28-aug-2018,0,0.500
29-aug-2018,0,0.000
30-aug-2018,0,0.000
31-aug-2018,0,0.000
01-sep-2018,0,0.000
02-sep-2018,0,2.900
03-sep-2018,0,0.000
04-sep-2018,0,0.000
05-sep-2018,0,3.300
06-sep-2018,0,0.600
07-sep-2018,0,4.400
08-sep-2018,0,6.400
09-sep-2018,0,0.700
10-sep-2018,0,4.800
11-sep-2018,0,1.200
12-sep-2018,4,0.000
13-sep-2018,0,1.000
14-sep-2018,0,2.900
15-sep-2018,0,2.000
16-sep-2018,0,0.000
17-sep-2018,0,4.500
18-sep-2018,4,0.000
19-sep-2018,0,0.000
20-sep-2018,0,12.000
21-sep-2018,0,0.000
22-sep-2018,0,0.600
23-sep-2018,0,0.000
24-sep-2018,0,0.000
25-sep-2018,0,0.800
26-sep-2018,0,0.000
27-sep-2018,0,0.000
28-sep-2018,0,0.000
29-sep-2018,0,0.000
30-sep-2018,0,0.000
01-oct-2018,0,0.000
02-oct-2018,0,0.600
03-oct-2018,0,4.000
04-oct-2018,0,6.000
05-oct-2018,0,0.000
06-oct-2018,0,0.000
07-oct-2018,0,0.000
08-oct-2018,0,0.000
09-oct-2018,0,0.000
10-oct-2018,0,0.600
11-oct-2018,0,14.000
12-oct-2018,0,13.700
13-oct-2018,0,6.200
14-oct-2018,0,0.000
15-oct-2018,0,0.000
16-oct-2018,0,0.000
17-oct-2018,0,0.000
18-oct-2018,0,0.000
19-oct-2018,0,2.000
20-oct-2018,0,1.500
21-oct-2018,0,0.000
22-oct-2018,0,0.000
23-oct-2018,0,0.000
24-oct-2018,0,0.000
25-oct-2018,0,0.000
26-oct-2018,1,0.500
27-oct-2018,1,0.900
28-oct-2018,0,0.000
29-oct-2018,1,0.000
30-oct-2018,1,1.100
31-oct-2018,1,0.600
01-nov-2018,0,0.000
02-nov-2018,0,5.800
03-nov-2018,0,1.200
04-nov-2018,0,15.000
05-nov-2018,1,10.600
06-nov-2018,1,7.900
07-nov-2018,1,1.700
08-nov-2018,0,0.600
09-nov-2018,0,10.000
10-nov-2018,4,0.000
11-nov-2018,0,2.200
12-nov-2018,0,2.800
13-nov-2018,0,4.200
14-nov-2018,0,0.000
15-nov-2018,0,0.000
16-nov-2018,0,0.000
17-nov-2018,0,0.000
18-nov-2018,0,0.000
19-nov-2018,0,3.300
20-nov-2018,1,12.500
21-nov-2018,0,2.300
22-nov-2018,0,0.000
23-nov-2018,0,0.000
24-nov-2018,0,0.000
25-nov-2018,0,0.000
26-nov-2018,0,10.000
27-nov-2018,0,3.400
28-nov-2018,1,7.900
29-nov-2018,1,0.700
30-nov-2018,1,1.400
